Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
28150000,9.979424,0.058225997,None,None,None,0.00248062,0.024095103,1.8777288e-05,0.10625907,0.00032232722,1.0
28200000,9.984419,0.05505732,22916.0,2290.7002048790455,2290.7002048790455,0.0099887205,0.023249134,1.8261544e-05,0.10608715,0.00031374878,1.0
28250000,9.981482,0.053346,13016.0,1300.700116276741,1300.700116276741,0.016513066,0.021814821,1.7743769e-05,0.105914555,0.00030513646,1.0
28300000,9.976573,0.05333746,14444.0,1443.5001288851101,1443.5001288851101,0.03655869,0.024824489,1.7226697e-05,0.1057422,0.00029653579,1.0
28350000,9.966449,0.054247625,32144.0,3213.50028715531,3213.50028715531,0.035515018,0.022801224,1.6712856e-05,0.10557093,0.00028798886,1.0
28400000,9.971014,0.055717207,14102.0,1409.3001257181168,1409.3001257181168,0.004311948,0.024563644,1.6247795e-05,0.10541592,0.00028025339,1.0
28450000,9.954782,0.060836844,39486.333333333336,3947.733686288198,3947.733686288198,0.06421668,0.023705646,1.5784133e-05,0.10526135,0.00027254116,1.0
28500000,9.95996,0.058459938,41727.0,4171.800372600555,4171.800372600555,0.023305865,0.026079288,1.526342e-05,0.10508778,0.00026387986,1.0
28550000,9.958099,0.064898826,62117.0,6210.80055475235,6210.80055475235,0.030417135,0.021227714,1.4747679e-05,0.10491586,0.00025530145,1.0
28600000,9.957309,0.06344119,8516.0,850.7000761330128,850.7000761330128,0.030812869,0.020170454,1.4231417e-05,0.10474378,0.00024671428,1.0
28650000,9.961755,0.057570565,23446.5,2343.750209569931,2343.750209569931,0.039106913,0.023672286,1.3716638e-05,0.10457216,0.0002381518,1.0
28700000,9.957549,0.057160463,28016.0,2800.700250148773,2800.700250148773,0.02631571,0.02033994,1.3250388e-05,0.10441676,0.00023039652,1.0
28750000,9.954652,0.058268387,23682.666666666668,2420.7002160698175,2420.7002160698175,0.027670512,0.022313993,1.2784649e-05,0.10426152,0.0002226497,1.0
28800000,9.9526,0.058564562,17849.0,1903.1751699447632,1903.1751699447632,0.060203932,0.023328146,1.2269988e-05,0.10408995,0.00021408917,1.0
28850000,9.944713,0.05605678,49116.333333333336,4910.733771999677,4910.733771999677,0.03452205,0.024338905,1.1755555e-05,0.10391851,0.00020553244,1.0
28900000,9.967812,0.057997108,None,None,None,0.0025105528,0.023369774,1.1239865e-05,0.10374659,0.00019695477,1.0
28950000,9.960623,0.058532123,23695.25,2368.6252115890384,2368.6252115890384,0.02856743,0.024220577,1.07234955e-05,0.10357448,0.00018836584,1.0
29000000,9.964992,0.053872135,8215.0,820.6000733375549,820.6000733375549,0.054565664,0.022050114,1.0256799e-05,0.10341891,0.0001806031,1.0
29050000,9.951285,0.053039238,4749.0,474.0000422000885,474.0000422000885,0.030794729,0.022701183,9.789488e-06,0.103263125,0.0001728302,1.0
29100000,9.9536915,0.051372394,3479.5,347.05003094673157,347.05003094673157,0.04465173,0.023238689,9.27458e-06,0.103091516,0.00016426554,1.0
29150000,9.9542675,0.05356908,26565.5,2655.6502371430397,2655.6502371430397,0.029079407,0.023793185,8.758948e-06,0.10291962,0.00015568887,1.0
29200000,9.948735,0.05327139,43276.5,4326.75038599968,4326.75038599968,0.038802586,0.023304595,8.241517e-06,0.10274714,0.00014708226,1.0
29250000,9.953585,0.058558162,46654.0,4664.500416725874,4664.500416725874,0.027960151,0.023731157,7.725379e-06,0.1025751,0.00013849717,1.0
29300000,9.956519,0.050529484,None,None,None,0.008625607,0.023360638,7.2082453e-06,0.102402724,0.0001298955,1.0
29350000,9.973866,0.05166144,None,None,None,0.004885082,0.021736553,6.7437973e-06,0.10224791,0.0001221702,1.0
